nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Agroguna Edukasi,Taman,5.0,Jawa Timur,Bojonegoro,Kapas,"Jl. Ahmad Yani No.43, Banaran Kidul, Kalianyar, Kec. Kapas, Kabupaten Bojonegoro, Jawa Timur 62115","https://www.google.com/maps/place/Agroguna+Edukasi/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781c687a68ff9:0x1c460e32f0a4dc9e!8m2!3d-7.1888037!4d111.9179754!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBE2FtdXNlbWVudF9wYXJrX3JpZGXgAQA?hl=id"
Rumah Thomas slebew,Taman,5.0,Jawa Timur,Bojonegoro,Bojonegoro,"Jl. Panglima Sudirman gg budjalmo No.89, Klangon, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62113","https://www.google.com/maps/place/Rumah+Thomas+slebew/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781b0f919c919:0x2f5f3598dd5b82c1!8m2!3d-7.153103!4d111.8774013!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBmdhcmRlbuABAA?hl=id"
Tugu Selamat Datang,Taman,4.4,Jawa Timur,Bojonegoro,Kalitidu,"Jl. Clangap - Gayam No.3, Cinugap, Sumengko, Kec. Kalitidu, Kabupaten Bojonegoro, Jawa Timur 62152","https://www.google.com/maps/place/Tugu+Selamat+Datang/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e777bbd5587ca65:0xd35cfc124d0f9c3e!8m2!3d-7.1370413!4d111.7259208!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBCnN0YXRlX3BhcmvgAQA?hl=id"
Tanah Kavling Desa Mayangrejo Kalitidu Bojonegoro,Taman,3.7,Jawa Timur,Bojonegoro,Kalitidu,"VQCP+62G, Talun, Mayangrejo, Kec. Kalitidu, Kabupaten Bojonegoro, Jawa Timur 62152","https://www.google.com/maps/place/Tanah+Kavling+Desa+Mayangrejo+Kalitidu+Bojonegoro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77796b539019c3:0x48476ce4031faaac!8m2!3d-7.1294465!4d111.7850766!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Taman Kreatifitas Sma Negeri 1 Bojonegoro,Taman,5.0,Jawa Timur,Bojonegoro,Bojonegoro,"RVXJ+86W, Kepatihan, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62111","https://www.google.com/maps/place/Taman+Kreatifitas+Sma+Negeri+1+Bojonegoro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77810fdf0078cd:0x584764746029f404!8m2!3d-7.1516386!4d111.8805646!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBCWNpdHlfcGFya-ABAA?hl=id"
Taman Melaten (Melaten Park),Taman,3.7,Jawa Timur,Bojonegoro,Bojonegoro,"RWW2+J96, Mlaten, Ngrowo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62119","https://www.google.com/maps/place/Taman+Melaten+(Melaten+Park)/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e778183d0bc3bcb:0x974e57310f5bd1c!8m2!3d-7.1534523!4d111.9008866!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb1oWIhRwYXJrIG5lYXIgYm9qb25lZ29yb5IBB2Zsb3Jpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkJPRXhUVUdGbkVBReABAA?hl=id"
Taman Ryan,Taman,4.0,Jawa Timur,Bojonegoro,Padangan,"Jl. KH. Marzuki Rt.06 Rw.02 no.349 Mbasangan, Rowobayan, Kuncen, Kec. Padangan, Kabupaten Bojonegoro, Jawa Timur 62162","https://www.google.com/maps/place/Taman+Ryan/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77637fbfffffff:0xfc1d03507eb31da1!8m2!3d-7.1637461!4d111.6198661!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Taman Sakura Jawa,Taman,3.7,Jawa Timur,Bojonegoro,Kepoh Baru,"Jl. Desa Sumberoto, Wirosobo RT/RW 04/01, Clingur, Pohwates, Kec. Kepoh Baru, Kabupaten Bojonegoro, Jawa Timur 62194","https://www.google.com/maps/place/Taman+Sakura+Jawa/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7789c3ae971771:0x9a0bdafa6ca52fc4!8m2!3d-7.1765558!4d112.0551285!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
RIMBA KOTA BOJONEGORO,Taman,4.2,Jawa Timur,Bojonegoro,Bojonegoro,"RVMP+R9J, Kp. Baru, Sukorejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62115","https://www.google.com/maps/place/RIMBA+KOTA+BOJONEGORO/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77819410da68f3:0xb6c08b000475f789!8m2!3d-7.1654218!4d111.8858767!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBEG5hdGlvbmFsX3Jlc2VydmXgAQA?hl=id"
DKP Bojonegoro,Taman,3.9,Jawa Timur,Bojonegoro,Bojonegoro,"RVQM+5MM, Kp. Baru, Sukorejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62115","https://www.google.com/maps/place/DKP+Bojonegoro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e778192532947e9:0xa739b7ac9bf1887b!8m2!3d-7.162038!4d111.8841833!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBmdhcmRlbuABAA?hl=id"
