nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Okassi Scooter Museum,Taman,4.6,Jawa Timur,Surabaya,Tambaksari,"No., Jl. Dukuh Setro IXA No.62, Gading, Kec. Tambaksari, Kota SBY, Jawa Timur 60134","https://www.google.com/maps/place/Okassi+Scooter+Museum/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9bcd30a3db1:0x7ed5e7b98c85657a!8m2!3d-7.2421824!4d112.7749153!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZFUxUFlrZDNFQUXgAQA?hl=en"
Wesijowo keris,Taman,5.0,Jawa Timur,Surabaya,Sukolilo,"Nginden 5C No.57c, Nginden Jangkungan, Kec. Sukolilo, Kota SBY, Jawa Timur 60118","https://www.google.com/maps/place/Wesijowo+keris/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fbc36cfd0095:0x7f09b778863d9924!8m2!3d-7.3024293!4d112.7646788!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQ9oZXJpdGFnZV9tdXNldW3gAQA?hl=en"
Yos Sudarso Monument,Taman,4.4,Jawa Timur,Surabaya,Krembangan,"QPGC+M9C, Komplek Kobangdikal Surabaya, Putra Samudra, Perak Bar., Kec. Krembangan, Kota SBY, Jawa Timur 60177","https://www.google.com/maps/place/Yos+Sudarso+Monument/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f8d6a41a53f7:0xe8bb6bdc0bda7aed!8m2!3d-7.2234639!4d112.7209509!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Balai Sahabat,Taman,5.0,Jawa Timur,Surabaya,Genteng,"PPVQ+CPP, Genteng, Surabaya City, East Java 60275","https://www.google.com/maps/place/Balai+Sahabat/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9cf75afb6c1:0xfb47d565bf15a83a!8m2!3d-7.2563953!4d112.739316!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQphcnRfbXVzZXVt4AEA?hl=en"
"Techno Park UPN ""Veteran"" Jawa Timur",Taman,4.2,Jawa Timur,Surabaya,Gunung Anyar,"MQ7Q+X4W, Gunung Anyar, Surabaya City, East Java 60294","https://www.google.com/maps/place/Techno+Park+UPN+%22Veteran%22+Jawa+Timur/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fab86da0fac9:0x805f5b9861c0c64d!8m2!3d-7.3350956!4d112.787822!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQ5zY2llbmNlX211c2V1beABAA?hl=en"
Rusdy,Taman,5.0,Jawa Timur,Surabaya,Pabean Cantikan,"QP9J+7F5, Jl. Indrapura, Krembangan Utara, Kec. Pabean Cantikan, Kota SBY, Jawa Timur 60164","https://www.google.com/maps/place/Rusdy/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f99ed56d2993:0x1e343528e44d006e!8m2!3d-7.2318481!4d112.7312435!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQ9vcGVuX2Fpcl9tdXNldW3gAQA?hl=en"
Museum Pendidikan Kedokteran Unair Surabaya,Taman,5.0,Jawa Timur,Surabaya,Tambaksari,"Jl. Mayjen Prof. Dr. Moestopo No.47, Pacar Kembang, Kec. Tambaksari, Kota SBY, Jawa Timur 60132","https://www.google.com/maps/place/Museum+Pendidikan+Kedokteran+Unair+Surabaya/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f97e16cb53b9:0x61ec9435632e8963!8m2!3d-7.2652584!4d112.7579929!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Studio Lima Gallery,Taman,4.6,Jawa Timur,Surabaya,Rungkut,"MA III BLOK G No 33, Jl. Medokan Asri Utara No.VII, Medokan Ayu, Kec. Rungkut, Kota SBY, Jawa Timur 60295","https://www.google.com/maps/place/Studio+Lima+Gallery/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fa9615982c51:0x46dc3b3fe47bf8b7!8m2!3d-7.3235491!4d112.7940832!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Kadipaten Surabaya,Taman,4.4,Jawa Timur,Surabaya,Bubutan,"QP2Q+4CH, Jl. Penghela, Alun-alun Contong, Kec. Bubutan, Kota SBY, Jawa Timur 60174","https://www.google.com/maps/place/Kadipaten+Surabaya/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f941d39bfeb1:0xa6021005b4235253!8m2!3d-7.249651!4d112.7386137!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Fresh Flowers,Taman,4.6,Jawa Timur,Surabaya,Sukolilo,"Jl. Klampis Anom II No.161, Klampis Ngasem, Kec. Sukolilo, Kota SBY, Jawa Timur 60117","https://www.google.com/maps/place/Fresh+Flowers/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fa44cd503da5:0x78f0123765ce57da!8m2!3d-7.2952298!4d112.7786405!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQphcnRfbXVzZXVt4AEA?hl=en"
Museum 45,Taman,4.6,Jawa Timur,Surabaya,Genteng,"PP5C+CG4, Embong Kaliasin, Genteng, Surabaya City, East Java 60271","https://www.google.com/maps/place/Museum+45/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f963d2d4fb4d:0xcc61646ea93f1c27!8m2!3d-7.2915875!4d112.7213013!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Museum Misi Pasturan Khatolik Surabaya,Taman,5.0,Jawa Timur,Surabaya,Krembangan,"Jl. Kepanjen No.9, Krembangan Sel., Kec. Krembangan, Kota SBY, Jawa Timur 60175","https://www.google.com/maps/place/Museum+Misi+Pasturan+Khatolik+Surabaya/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f93c2d7bfe0b:0x58bfe909cf4fbcb1!8m2!3d-7.2414994!4d112.73587!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1beABAA?hl=en"
Gardoe ANIEM Bambu Runcing,Taman,4.6,Jawa Timur,Surabaya,Genteng,"PPJV+RV8, Embong Kaliasin, Genteng, Surabaya City, East Java 60271","https://www.google.com/maps/place/Gardoe+ANIEM+Bambu+Runcing/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fbdf4a9ac96b:0x177e4412d48163a!8m2!3d-7.2679596!4d112.7446901!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Museum Teknoform - Universitas DINAMIKA,Taman,4.6,Jawa Timur,Surabaya,Rungkut,"MQQJ+7WG, Kedung Baruk, Rungkut, Surabaya City, East Java 60298","https://www.google.com/maps/place/Museum+Teknoform+-+Universitas+DINAMIKA/@-7.240328,112.5995951,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7faf3b896b79f:0xe1549ebf8ec62096!8m2!3d-7.3118005!4d112.7823132!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
